id,name,sba_in_title,sba_status,total_inquiries,status
5025,18-Year-old Catholic Products Website with 32% Sales Growth YOY,False,unknown,331,sold
6875,Efficient Online Jewelry Business | 20 Year Track Record | No Experience Necessary | Low Multiple,False,no,603,active
7499,High Margin Online Courses with Recurring Revenue | 66% Trial Conversion | $200 LTV,False,no,295,lost
7559,"Seller Financing, Content / eCommerce Business, Home Improvement Vertical, Strong YOY Growth",False,no,382,lost
9666,SBA Shopify Christian Products Brand | 53% Repeat Order Rate | $20M+ Lifetime Sales | High Margins,True,yes,321,lost
11587,Amazon FBA Brand - Patented Products in Maternity and Wellness Niche with Growing YOY SDE,False,unknown,297,sold
12034,Passive 13-Yr-Old B2B SaaS Business with 27% YoY Growth,False,no,296,sold
13061,7-Year-Old Shopify Watch Accessory Brand | 33K Emails | $89K SDE,False,no,317,sold
13990,SBA Prequalified | 7 Year-Old Blue-Collar Workwear Brand w/38% Net Margins | Growth Opportunities,True,yes,574,sold
15012,Amazon FBA Water Bottle Accessories Business w/4 Design Patents | Wholesale Opportunities,False,no,295,lost
15413,"Seller Financing Available: Solar & Renewable Energy, +17.1% YoY Earnings, Massive Industry Tailwind",True,no,433,lost
16271,7-Year-Old Stripe Connect Membership Platform SaaS | Massive Market | Robust App Ready to Grow,False,no,365,lost
16471,SAAS Bookkeeping with 88% Organic Traffic | 178% SDE Growth | New Revenue Stream Online Soon,False,unknown,314,sold
16522,"Top-Rated Productivity SaaS with $40K MRR, 10K Customers and Low Churn",False,no,348,sold
16878,Dropship Shopify Health Business | $1M+ Revenue | 35% SDE TTM Growth | U.S. Based Suppliers,False,no,667,sold
16914,Shopify Custom Products Business | US Manufacturing | Shark Tank Featured,False,no,854,sold
17312,"SaaS Biz, Senior Well-Being Niche - Passive - Growth Potential - YoY TTM Rev & SDE growth 19% & 21%",False,no,292,sold
17516,5 yr Old Pool Access. Biz | 95% Amazon FBA | YOY Revenue +102% | COGS Decrease,False,no,456,sold
17542,"7 Year Old Arts And Crafts Subscription Business With 44 Courses and 2,500+ Paid Subscribers",False,no,475,sold
17700,SBA-Eligible: Leading Amazon FBA Outdoor & Survival Brand w/ Triple Digit Growth,True,yes,300,sold
17818,SBA Pre-Qualified SAAS Business | 95% Client Retention | Growing 69% YOY | Amazing Growth Potential,True,yes,388,sold
17904,Highly Profitable Content Site - Health & Fitness Niche - 1.25X Multiple - Not distressed,False,no,602,active
17923,"Shopify Private Label Brand - Industry Leader Arts/Crafts - 900K Emails, 344K Unique Vis/Mth - 1.75X",False,no,639,lost
17938,Distressed Listing: Health Supplement with Massive Sales Selling at 1x Multiple,False,no,304,sold
18001,"2 Year Old, Highly Profitable Content Site -  Home & Kitchen Niche - Over 100K Unique Visitors/mth",False,no,369,active
18011,Sustainable Shopify Kitchen & Dining | 84% Gross Margins | $1M+ TTM Revenue | 825K+ Followers,False,no,383,lost
18025,"Fast-growth Shopify Brand, Popular Wellness Category - $1.14MM SDE - Large Growth Opportunity, 2.85X",False,no,305,active
18078,6 Year-Old Subscription-Based Business With Low Workload and Strong Margins,False,unknown,415,sold
18096,10-Year-Old Grilling Amazon Business | 19% Revenue Growth | Wholesale Relationship | Low Workload,False,no,370,sold
18099,Easy to Operate 3-SKU FBA Business with Untapped Potential,False,unknown,453,sold
18107,SBA Pre-Qualified Virtual Team Building Business | $526k of SDE on $660k in Revenue | 2.1x Multiple,True,yes,304,sold
18124,SBA Pre-Qualified E-Com Biz | $1m+ Rev on $0 Ad Spend | Opps to Modernize 25 Year Old Biz,True,yes,519,sold
18318,20+ Year Old Online Courses Portfolio (Recurring Revenue & Best Domain Name),False,no,276,sold
18320,Dropship Shopify Site - Distressed with Immediate Upside - 1X Multiple - Womens' Clothing & Access.,False,no,775,lost
18370,Amazon FBA Business |105% YOY |Patent Approval on Track |Primarily Fitness Market |Strong Up-Side,False,partial,329,sold
18449,5-Year-Old eCommerce Brand | Untapped Sales Channels | $378k SDE,False,unknown,379,lost
18546,"7-Yr-Old Amazon FBA Home & Kitchen Business - Strong YoY Growth and 12,000+ 4.5 Star Reviews",False,no,363,sold
18638,10-Year-Old Passive Evergreen Course Business | $149k SDE | Massive Opportunities for Growth,False,no,628,lost
18639,"Fast Growing Dropship Wellness Brand w/ Passive Income, Low Overhead, and Turn-Key Model",False,no,307,lost
18699,Fast-Growing Amazon FBA Business with 3 SKU's + Built-In Growth,False,no,352,sold
18710,"Seasoned eCommerce Dropship Sites, 19 Years in Home Furnishings",False,no,499,lost
19050,Blissbury: Premium Sleep-Support FBA Brand | 50%+ Growth | 10K+ Reviews | 76% Gross Margins,False,no,346,active
19095,Low Priced Amazon Electronic Accessories | 2.2x multiple | $260k+ SDE,False,no,302,lost
19120,SBA Pre-Qualified Health & Fitness Content Site | 100%+ Rev and SDE Growth | 2.5M+ TTM Page Views,True,yes,738,active
19170,SBA Pre Qualified - 8-Year-Old Women’s Boutique - $670K SDE w/ Only $55k Ad Spend,True,yes,489,sold
19223,"Amazon FBA Supplements | 12% YOY SDE Growth | Ph.D. Formulated Unique Products | 1,000+ Reviews",False,no,457,lost
19224,SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth,True,yes,543,sold
19258,"Established Bicycle Manufacturer with 45.8% Growth, Repeat Revenue, & Celebrated Brand",False,yes,404,lost
19332,Passive Amazon FBA Goal Planner Business | 12% TTM Revenue Growth with Little Work and No Ad Spend,False,no,284,sold
19374,Content Site in Mobile Gaming Niche | 7.8m Sessions & 3.3m Users in Past Year | Low Multiple,False,no,416,sold
19396,16 Year-Old Dropship Site w/ Significant Organic Sales | 47% YOY Sales Growth & 58% YOY SDE Growth,False,no,402,sold
19437,Low Priced Amazon FBA Business | 328% TTM SDE Growth | 2x Multiple | Passive,False,no,599,sold
19678,"SBA PreQualified 5-Year-Old FBA Business with over 10,000 4.4-Star Avg Reviews",True,no,314,active
19796,"Athletic Massage Guns: 92.1% AVG Growth, Celebrated Brand, High 27% Net Profits",False,unknown,418,sold
19838,20+ Year Old Supplement Business | $2.9M+ SDE | 100% Amazon Rating,False,unknown,844,active
19841,Motivated to Sell | 1.95x Multiple | High TTM Rev/SDE Growth | Amazon FBA Bags | 80%+ Gross Margins,False,no,354,sold
19845,SBA Pre-Qualified: B2B SaaS w/ 17.8% Earnings Growth and 12 Yr History,True,yes,405,sold
19907,Dog Product Content Site - 3rd Party Financing - 3.5 Years Old - Ad & Affiliate Revenue - 2.7X,False,no,877,sold
19908,3 Content Sites - Available as Package or Individually - 107% Revenue & 121% SDE YoY growth - 1.92X,False,no,710,sold
19940,Low Priced Custom Products Shopify Business | $2M+ TTM Revenue | $400k+ TTM SDE | 80% Digital Orders,False,no,418,sold
20127,Board Blazers - High Margin 9+ Year Old FBA Biz | Over 3k+ Reviews | Seller Financing,False,unknown,493,sold
20272,FBA Resale Biz | 1.28x Multiple | Great Growth | 100% Seller Rating TTM,False,unknown,432,lost
20294,7-Yr-Old Parenting Site | 136k Following | $160k SDE | 5-7 Hr Work Week,False,unknown,280,active
20395,Amazon Skincare Line | High Margins | Unique Formulations,False,no,433,sold
20398,Amazon FBA Biz w/ Differentiated Hero ASIN | Growth Potential w/ More Involved Owner | Great Reviews,False,no,290,sold
20427,Health and Wellness Amazon Business | Price Reduced | 2.6x Multiple | $250k TTM SDE,False,no,839,sold
20575,11-Year-Old Established FBA Supplement Business,False,unknown,375,active
20580,General Health and CBD Content Site | $1.3M TTM SDE | 500%+ Traffic and SDE Growth,False,no,324,lost
20588,75% Finaceable | $120k+ TTM SDE | Amazon FBA Kitchen Products | 41% TTM Revenue Growth,False,no,444,sold
20634,Amazon FBA Health and Fitness Brand,False,no,952,sold
20667,Motivated Seller | 1.4x Multiple | Content Site Portfolio | $1M+ TTM SDE | 194% SDE Growth,False,no,601,sold
20684,SBA Pre-Qualified | Education Vertical Subscription | SaaS and Subscription Business,True,yes,911,sold
20767,"Amazon FBA Outdoor Brand | Solid Margins | 2,400 Reviews | 3 SKUs | Product Expansion Potential",False,no,759,sold
20815,Quick Sale Opportunity | Below 1x Multiple | Esoteric Digital Products Business | Established Team,False,no,656,active
21009,Amazon SAAS Company | 2.1x Multiple | No Active Marketing | Value Add Buyer Desired,False,no,621,sold
21049,"SBA Pre Qualified: 4,000+ Course Membership Business With 83% Recurring Revenue 155% YoY SDE Growth",True,yes,455,sold
21397,8 Yr Old Home & Kitchen E-Comm Business | 51% Repeat Orders | 10% YoY Revenue Growth | Strong Brand,False,no,321,sold
21413,SBA Pre Qualified | Health & Wellness DTC | 80% Gross Profit | Exploding Niche,True,unknown,497,sold
21790,"14 Yr-Old Financial Investment Tracking SaaS Business, Consistent Growth, Strong Recurring Revenue",False,yes,278,sold
21809,4 Year Old Party Access. Biz | +46% YoY Rev | Brand Registered | Owner Financing,False,unknown,431,sold
21821,Turnaround Opportunity in the Pet Niche | Amazon FBA | 2.1x Multiple,False,no,286,sold
21876,"4-Year-Old Shopify, FBA, & Wholesale Pilates Towel Business with Patented Product",False,no,298,lost
21899,FBA Automotive Touchscreen Protectors and Accessories | Thousands of 5-Star Reviews,False,yes,333,lost
21930,19-Year-Old Ecommerce Surfing Accessories Business | Premium Domain Name | Low Workload,False,no,310,sold
21934,10 Year Old Art Supply Subscription Box Business w/ Loyal Community and Diversified Traffic,False,no,296,active
22082,4-Year-Old Food Blog | 416 Posts | Low Workload | Large Social Following,False,no,624,sold
22301,13-Year-Old Unique Amazon FBA Special Effects Lighting Products,False,no,326,lost
22437,"SBA Pre-Qual | 8 Yr Old Reputable SaaS Portfolio, High Barrier to Entry, Passive,  2.3M+ Users",True,yes,1044,sold
22520,Growing Custom Artwork Shopify Business | 81% Digital Orders | 4k+ Reviews | 2.0x Multiple,False,no,513,active
22559,1-Year Old FBA Hero Sku | Provisional Patent,False,no,331,sold
22599,"Distressed - Ecommerce, Dropship, Print-On-Demand - Patriotic T-Shirts - $36K TTM SDE",False,no,445,sold
22680,Turn Around E-Com Supplement Brand | 1x Multiple,False,no,327,sold
22692,Amazon FBA Business in Home Goods w/Great Margins and Expansion Opportunities,False,no,350,lost
22863,Music Education Digital Products Business | Operator in Place | Visionary for Turnaround Needed,False,no,381,lost
22943,Shopify/Amazon Sea Moss Brand | $270K+ MRR | 90%+ Gross Margin | US Made | 30%+ Growth,False,yes,350,active
23097,13-Year-Old Specialty Hand Tools Business | 47% YOY SDE Growth | 40% Repeat Rev on Branded Site,False,yes,438,sold
23136,Amazon UK and US FBA Gift Business | Motivated Seller | High Growth | Low Ad Spend,False,no,293,sold
23204,Phenomenal 16-Year-Old Content and Directory Site for Runners | 6.9M Pageviews | $89k SDE,False,no,296,sold
23262,"13+ Year Old Food Blog With 1,100 Posts + Multiple Traffic Sources",False,unknown,443,lost
23429,4 Year Old Ergonomic Chair and Desk Business | Multiple Revenue Channels | Massive Growth Potential,False,unknown,318,lost
23462,"Quick Sale Opportunity | Amazon FBA Home Decor | 2,000+ Reviews | 1.3x Multiple",False,no,681,sold
23473,Distressed Listing: Established Water Bottle Brand w/Great Potential,False,no,561,sold
23521,Garden Supply Biz | Amazing Growth | Partial SBA Pre-Approval | 99% 4.9 ⭐ Rating,True,unknown,362,sold
23553,PPC Lead Generation | Premium Client Base | Ready for Optimization | 87% Net Margins,False,unknown,903,active
23586,Ultra-Premium Performance Bag Business w/ High Margins,False,no,361,sold
23592,SBA Prequalified: Leading Personal Finance Content Business w/Diversified Earnings,True,yes,750,sold
23620,SBA Pre-Qualified Custom Artwork Shopify Business | 75% Digital Sales | Turnkey Operations,True,yes,522,sold
23624,11 Year Old eCommerce Business | Steady History | Seller Financing Available,True,no,651,active
23675,SBA Pre-qual 22 year old Snow Sports Biz | $2.18m Rev | 1.2% Ad Spend | Huge Growth Opportunities,True,yes,345,sold
23680,Content Portfolio Package With 3 Finance Websites,False,no,288,sold
23709,"SBA Pre-Qual Home Décor DTC and FBA Brand | 2,700+ 5-Star Reviews",True,yes,428,lost
23775,10-Year-Old Evergreen Content Business with Website Manager,False,no,1320,active
24040,Low Workload 4 Year Old Growing Food Blog With 170+ Posts,False,no,383,sold
24061,Luxury Travel Content Biz | SBA Pre-Approved for $5M | SDE +129% YoY | Rev $2.1M +131% YoY,True,yes,333,active
24112,12-Year-Old Premium Travel Content Platform | Exclusive AirBnB Affiliate Access | Turnkey Team,False,no,590,active
24348,Flight/Travel Deals Subscription Service | 73% SDE Margin | $373K ARR | Untapped Potential,False,yes,319,lost
24362,"SBA Pre-Qualified | 11-Yr-Old Amazon FBA | Eyewear | 37,000 4.4-Star Reviews | Positive YOY Trends",True,yes,441,sold
24379,Content Site | Best-in-Class Tech Niche Authority | 7MM Visitors/Yr | YOY Growth Rev 491% & SDE 546%,False,no,302,sold
24587,High Growth Custom Pet Shopify Business | 2.0x Multiple,False,no,387,active
24594,"Home & Kitchen Brand | Dropship, Passive Income, Turnkey | Low Multiple",False,no,542,lost
24695,4+ Year Old Travel Blog With 350% YoY Traffic Growth,False,no,327,sold
24750,Distressed/Bankruptcy Listing | Over $17M+ in Lifetime Revenue | Large IP,False,unknown,558,sold
24779,Home and Kitchen Brand | Multiple Patents | 1.7x Multiple | Shark Tank Featured | High Margins,False,no,565,active
24842,Workout Blog | Subscription Revenue | 10+ Years Old | Marketing Needed,False,no,431,active
24844,4 Year Old Amazon FBA Business In Kids Outdoor Sporting Category w/30% Net Margins,False,no,319,sold
24946,Established 5 Year Old Lifestyle Business Focused On Wooden Baby Products,False,no,281,sold
25005,Amazon FBA and Reseller Business Selling at Low Multiple,False,yes,383,lost
25141,Quick Sale Opportunity 14 Year Old Travel Content Site | 80% Affiliate | Strong Domain Authority,False,no,702,active
25215,SBA Prequalified: 21+ Year Old Transportation Industry Ecom Business With No Paid Ads,True,yes,583,sold
25230,Gaming Blog w/Growing Mediavine Earnings and Strong Traffic Trends,False,no,298,sold
25250,"Price Reduced: 9-Year-Old SaaS Business with $86k MRR and $1,250 LTV",False,no,1086,sold
25264,12-Year-Old WordPress Subscription Management Business |$306K SDE **Partial Financing Available,True,no,276,sold
25286,Aphrodisiac Chocolate Biz w/ Massive Growth & Huge Margins | Selling Due to Co-Founder Falling Out,False,no,399,sold
25452,Home Renovation Drop Ship Biz | YOY Revenue UP 75% | High AOV | 1.94x Multiple,False,unknown,473,sold
25477,11 Year Old Home & Kitchen FBA Brand | Truly Unique Products | Owners Ready for Retirement,False,no,412,active
25726,2 Year Old Free Sample Portfolio Of 8 Affiliate Websites With 250k+ Subscribers,False,no,498,sold
25772,Quick Sale Opportunity Reflexology Health Business | Low Competition | Strong Margins,False,no,326,lost
25776,"Fast Growing SaaS | Transport Management Space | ~$1m ARR w/ 350%+ YoY Growth | $40,000+ CLTV",False,unknown,838,sold
25934,"SBA Pre-Qualified: Sleep Aid eCommerce w/ Strong Brand & Growth Ops, YoY Rev +35%, SDE +125%",True,unknown,354,sold
26074,"SBA Pre-Qual | Proprietary Saas Tools for Traders, 1700 Customers, Built-in Growth, 4.8 Star Rating",True,yes,283,sold
26079,Subscription Based Newsletter | $40K+ MRR | 300K Email Subscribers | 575K Instagram Followers,False,no,572,active
26105,8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos.,False,yes,959,active
26197,5-Yr-Old Running and Fitness Accessories Brand | Below 1x w/ Inventory Included,False,no,305,lost
26243,"Recently Reduced: 6 Year Old Mattress Blog - 1,500 Posts - Low Workload",False,no,384,active
26302,SBA Qualified Growing Baby Products Brand | Amazon FBA and Shopify | Established Team | US Supplier,True,yes,352,sold
26353,SBA Pre-qualified 20-Year-Old Library Resource Business | 77 Year-Old Owner Retiring,True,yes,545,sold
26480,Automated Resume-Writing Service | 78% Net Margins | Little Marketing | Seller Financing Available,True,no,521,sold
26573,"Growing EdTech Business: 85% Recurring Revenue, 11K+ Annual Subscribers, 17.6% CAGR",False,unknown,456,active
26636,SBA Camper Van Ecom Brand | 70% Organic Traffic | $900+ AOV | 8-Figure Revenue Potential,True,yes,835,sold
26690,Sports-betting Picks & Handicapping Services Biz | Est. 2009 | TTM 64% Net Margins | 1.5x Multiple,False,no,796,sold
26749,3 Site Content Portfolio in DIY Repair Category w/Millions of Monthly Visits,False,no,711,sold
26824,Distressed Listing / 15 Year Old Eco-Friendly Storage Biz / $3.2M+ Revenue / Diverse Sales Channels,False,unknown,439,lost
26838,SBA Shopify Custom Home Decor | $130 AOV | High Gross Margins | US Manufacturing,True,yes,360,sold
27128,"Low Workload Digital Products and Affiliate Business w/14,000 Customers and Transferable Team",False,no,391,active
27226,"Shopify Private Label CBD | 75% Repeat Customers | 360+ Subscribers, ~13K Recurring/Month | 1.85x",False,no,599,active
27268,"Growing Outdoor Structures Drop Ship Business w/$10,000+ Average Order Size",False,no,295,sold
27278,2 Year Old Agency Focused On HARO - Low 5 - 7 Hour A Week Owner Workload,False,no,277,sold
27296,"Amazon FBA | Established 4 SKU Brand | Diversion Safes & Fireproof Products | 3,000 4.7-Star Reviews",False,no,521,active
27495,Virtual Summit Business in the Education Space | 58% Net Margins | Multiple Growth Opps,False,yes,279,sold
27532,SBA Qualified Social Media Marketing Agency | Subscription Revenue | $9.5K LTV | Established Team,True,yes,310,active
27592,Niche-Leading Travel Blog with 7M Annual Users and 107% YoY Growth,False,no,343,active
27643,Shopify | Private-Label Premium Wall Paneling Products | Multichannel | $593K SDE & Growing | 2.5x,False,no,453,sold
27689,SBA Qualified Yoga Digital Products | Operator in Place | 8 Years Old | Marketing Needed,True,yes,320,sold
27894,"Private Label Lifestyle Brand | 75% Wholesale/Drop-Ship Partner Model | YOY 85% Rev, 43% SDE Growth",False,no,404,active
27936,SBA Qualified Growing Real Estate Digital Services Business | 50% Net Margins | $500+ LTV,True,yes,570,sold
28011,Category-Leading Amazon FBA Blankets Business with 90%+ YoY Growth and 4.8 Product Rating,False,no,452,active
28025,Partial SBA Pre-Qualified Test Prep Membership Business | 100% Organic | Zero Marketing | 15K Subs,True,yes,451,sold
28115,SBA Pre-Qualified Amazon FBA Health Supplement Company | 15K+ Amazon Subscribers | US Manufacturing,True,yes,823,active
28147,Category Originating Arbitrage Biz / No Paid Marketing / Untapped Growth Potential,False,unknown,440,active
28179,SBA PQ | Passive Test Prep Business | YouTube 75.6K Subs - 9.5M Views | YoY Rev/SDE Growth 63% & 67%,True,yes,465,sold
28317,Quick Sale Opportunity | Amazon Dog Gear | USA Made | Trademarked | Design Patent,False,no,366,sold
28692,Vehicle Camping and Off-roading Amazon FBA Business | 40% Growth | $1.4m Revenue,False,no,330,active
28740,WordPress Dog Content Site | Quality Content | Low Workload,False,no,301,lost
28755,Distressed Personalized Jewelry Brand | 650K Followers | 3K+ Reviews | 1.6M Emails,False,unknown,326,sold
28876,3-Year-Old Content Site | Quick Sale Opportunity | Global Cuisine/Recipes | 50 DA | 1.23x Multiple,False,no,360,active
28928,Upwork-Like Platform for Tutoring | Solid Reputation | Massive Industry | Low Multiple,False,no,614,sold
29014,10-Year-Old Outdoor Living Retailer | 100% USA Suppliers | 20x ROAS,False,no,363,sold
29066,14-Year-Old Day Trading Futures Software and Education Business | Partial SBA | 60% Repeat Customers,True,unknown,302,lost
29208,11 Year Old B2B Cloud-Based CRM for Roofing Contractors | Avg Sub 5+ Years | Scaling Opportunity,False,no,283,active
29211,7-Year-Old Amazon FBA Brand | Baby Niche | Low Workload,False,no,561,sold
29262,12-Year-Old WordPress Content Site | Strong Domain Authority + Low Workload,False,no,309,lost
29379,SBA Pre-Qualified: 12-Year-Old SaaS Business | Owner Works 5 Hours per Week,True,yes,1687,sold
29429,Growing Jewelry Business | +137% YoY Revenue | +92% SDE | 76% Gross Margins,False,no,360,sold
29525,10+ Year Old Greek Mythology Blog - Evergreen Content - Low Workload,False,no,290,active
29530,Alternascript & Hair Labs,False,yes,628,sold
29592,Profitable 20-Year-Old Furniture eComm Business Primed for Immense Upside,False,unknown,363,sold
29598,SBA Pre-Qualified Health & Wellness Content Sites | 58% SDE Margins | Strong Backlinks,True,yes,332,sold
29684,10-Year-Old Personal Finance Blog | 800+ Posts | Low Multiple,False,no,306,active
29740,Growing Digital Marketing Biz | Revenue +86% YoY | SDE +123%,False,unknown,397,active
29862,"SBA Pre Approved: Market-Leading Real Estate Content Biz | 3,486 Subscribers | Conservative Growth",True,yes,969,active
29867,SBA Pre-Qualified Outdoor Living Ecomm Business | 320% YoY Growth | $4.5K Average Order Value,True,yes,318,lost
29908,Merch By Amazon Business w/Massive Capacity Allocations Available & Untapped Growth,False,no,322,sold
30058,8-Year-Old Electronics Business | $4.7M+ Revenue | YoY Revenue Up 4.33% | Seven Brand Registries,False,unknown,299,sold
30193,SBA Email SaaS Company | Low 1 Customer per Month Churn | Sales Experience Needed,True,yes,1076,sold
30199,SBA Pre-Qualified | 14 Year-Old Eyewear Brands | Exclusive Vendors | B2B Growth Opportunities,True,yes,603,sold
30373,Seller Financing Available | Personal Grooming Shopify Biz | Motivated Seller | Marketing Needed,True,no,759,lost
30570,Physical Wellness WordPress Content Site Hit by Google HCU | Open to Offers,False,no,632,sold
30747,"SBA Max $5M Pre-Approval | Exploding SaaS Trading Platform | $5.4M REV, $2.7M+ SDE - UP 212%",True,unknown,961,active
30805,9 Year Old Amazon FBA Business w/28% Net Margins | Strong Brand | Low Multiple,False,no,312,sold
30856,10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships,False,unknown,380,sold
30857,Tennis Training Ecomm Business | Outstanding 59% SDE Margin | 21% YoY Growth,False,no,485,lost
30874,6-Year-Old Anime Drop-Ship Business | $61K SDE | Low Workload,False,no,277,sold
30905,"Pet Products Business - 6.5M Social Followers, Strong Organic Rank, 800k Email Subs, Recurring Rev.",False,no,673,sold
30994,Amazon Keto Snacks | Passive $8K Subscription Revenue | Marketing Needed | US Manufacturing,False,no,541,sold
31237,Bonjoro,False,no,379,active
31468,SBA Pre-Qualified 22-Year-Old Education Publisher Selling Bilingual Materials w/High Margins,True,yes,505,active
31683,"Faith-Tech SaaS | 35,000 Development Hours | No Marketing Spend | Up to 80% Seller Financing",False,no,369,active
31903,Seller Financing Available | Shopify Travel and Outdoor Brand | No Amazon Presence | 75% Gr Margins,True,no,574,sold
32079,"14+ Year Old Food Blog With 1,800+ Posts And Multiple Growth Opportunities",False,no,451,sold
32257,"Category-Leading Patented Vegan FBA Brand | 30% SDE Margin | 60% YoY Growth | 12,000+ Reviews",False,no,350,sold
32328,9-Year-Old Amazon FBA Flag Business | 33% YoY SDE Growth | Low Workload,False,no,576,sold
32380,"Leading Window Shade Company | 30 Years Old | Household Brand with 21,000+ Retail Locations",False,yes,434,active
32616,SBA & Conv. PQ - $8M | 17-Yr-Old Multi-Channel Consumer Tech | YoY 24% Rev & 22% SDE Growth | 3.4x,True,yes,564,active
32681,Premium Home Category Biz with $12.3M in Revenue Selling for Inventory value + Goodwill,False,no,419,active
32788,10-Year-Old UX Research SaaS | $263K ARR | $156K ARR In Pipeline | $724 ARPU | $11K LTV,False,unknown,578,active
32811,5-Year-Old SaaS Business | WordPress and Shopify | Low Owner Workload,False,yes,360,sold
32968,4-Year-Old Online Course and Coaching Biz | Low Workload | Multiple Growth Ops,False,no,323,lost
32980,SBA Pre-Qualified | 8-Year-Old Agency | 46.9% YoY SDE Growth | Strong Recurring Revenue,True,yes,629,active
33332,Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead,False,no,350,active
33344,Distressed Supplement Brand | 87% Gross Margin | 25% Repeat Order Rate | Untapped Growth Potential,False,unknown,369,sold
33537,Cash-Strapped Health Food CPG Brand with Costco PO in Need of Buyer with Capital,False,no,422,sold
33550,"Largest Newsletter for AI Researchers, Developers, and Industry Leaders with $80k Monthly Ad Revenue",False,unknown,351,active
33589,7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth,False,yes,607,sold
33775,SBA Pre-Qual | 35-Year-Old B2B Industrial Equipment Distributor | 80% Repeat Customers | ~$2K AOV,True,yes,959,active
33807,"Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins",False,no,390,active
33900,12 Year Old Social Media Management Subscription Business | Loyal Customers | Transferable Team,False,no,492,sold
33925,Amazon FBA Garden Business | 36% Revenue Growth | Multiple Expansion Opportunities,False,no,372,active
34050,Thriving Women’s Health Supplement Business | $5.7M SDE | 300%+ Growth | Owners Capping Growth,False,no,316,active
34068,Quick Sale Opportunity 7 Year Old Tag Installer Software for Shopify Merchants | Extremely Passive,False,no,315,sold
34076,Elite App & AI Development Firm - 15 Years Old | Fortune 500 Clients | $463K SDE | Passive Ownership,False,no,342,sold
34136,Growing Tech-Enabled Grant Management Service | $20K per Client | Massive US Expansion Opportunities,False,no,288,sold
34279,Growing FDA Compliance Digital Service Business | 50%+ Recurring Revenue | 70%+ Profit Margin,False,no,679,active
34288,Growing Amazon Luxury Travel Bags Brand | Low Workload | 1.7x Multiple | Motivated to Sell,False,no,320,sold
34289,Amazon FBA Kitchen Brand | 80% Gross Margins | 1.99x Multiple | Cash Buyers Only,False,no,562,sold
34290,14 Year Old Dental SaaS Business | <1% Monthly Churn | $2000+ LTV | 13% YoY Growth,False,no,819,active
34298,Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,False,unknown,496,active
34412,Established Virtual Assistant Agency | $9.5K Avg. Recurring Monthly Profit | Low Workload,False,no,419,lost
34777,Patented Trailer Hitch Brand | $1.5M Revenue | Minimal Ad Spend | TikTok Goldmine 115+ Creators,False,unknown,455,active
34804,Financing Available | Growing Shopify Personalized Gifts Business | No Inventory | 45% Net Margins,True,yes,854,active
34887,Premium Wristwatch Ecomm Business | 67% Net Profit Margins | Low Workload | High-Profile Collabs,False,no,403,active
35095,36-Year-Old Supplement and Cream Business | US Supply Chain | 44% Return Customer Rate,False,no,289,sold
35273,SBA Pre-Qualified: 12-Year-Old SaaS Payment Platform | $186K MRR | Owner Works Minimal Hours,True,yes,920,active
35547,"8 Yr Old Category-Leading Sleepwear & Socks FBA Business | $8M Revenue | 40,000+ Reviews | 2x Growth",False,no,381,active
35653,SBA Pre-Qualified: 14-Year-Old Food Content Authority | Exclusive MSN Partnership | 81% Growth,True,yes,363,active
35697,Stable Amazon FBA Business in Seniors Niche | 85% Gross Profit Margin | Simple Operations,False,no,479,active
35725,Blue Collar Print On Demand Business | Predictable 50-100% Growth Opportunity | USA Supply Chain,False,no,351,active
35777,SBA PQ | Curated Side Job Content Biz w/50% Adsense Earnings | Large Email List | 20 Year History,True,yes,398,active
35855,30-Year-Old Directory Website | Recurring Revenue | Premium Domain Name | Low Workload,False,no,418,sold
36060,Growing Shopify Health and Wellness Coffee Alternative Consumable CPG Brand | $77 AOV | $20K+ MRR,False,unknown,342,active
36257,18-Year-Old Established Custom Greeting Card Business | 60% Repeat Customer Rate | $525 AOV,False,unknown,317,active
36259,7 Year Old Education Tech Company w/32% Net Margins | Full Team | Untapped Marketing Channels,False,no,295,sold
